date,kg
6/9/21,62.20
6/10/21,62.70
6/11/21,61.90
6/12/21,
6/13/21,61.70
6/14/21,61.50
6/15/21,61.80
6/16/21,61.40
6/17/21,62.10
6/18/21,62.40
6/19/21,61.50
6/20/21,61.90
6/21/21,62.00
6/22/21,61.30
6/23/21,61.80
6/24/21,61.70
6/25/21,61.00
6/26/21,61.20
6/27/21,60.90
6/28/21,
6/29/21,
6/30/21,
7/1/21,
7/2/21,
7/3/21,
7/4/21,
7/5/21,61.70
7/6/21,61.70
7/7/21,61.80
7/8/21,62.00
7/9/21,61.30
7/10/21,61.20
7/11/21,61.60
7/12/21,61.20
7/13/21,61.30
7/14/21,61.70
7/15/21,
7/16/21,
7/17/21,
7/18/21,61.60
7/19/21,60.40
7/20/21,
7/21/21,
7/22/21,
7/23/21,
7/24/21,
7/25/21,61.30
7/26/21,61.50
7/27/21,61.20
7/28/21,61.40
7/29/21,61.00
7/30/21,61.10
7/31/21,61.10
8/1/21,60.80
8/2/21,61.20
8/3/21,60.70
8/4/21,60.90
8/5/21,61.20
8/6/21,
8/7/21,
8/8/21,
8/9/21,60.70
8/10/21,61.20
8/11/21,61.40
8/12/21,60.80
8/13/21,
8/14/21,
8/15/21,60.00
8/16/21,60.40
8/17/21,60.10
8/18/21,59.10
8/19/21,60.00
8/20/21,60.40
8/21/21,60.60
8/22/21,60.80
8/23/21,60.10
8/24/21,61.00
8/25/21,60.50
8/26/21,60.10
8/27/21,60.10
8/28/21,61.70
8/29/21,60.50
8/30/21,61.00
8/31/21,60.70
9/1/21,61.10
9/2/21,61.30
9/3/21,61.20
9/4/21,60.70
9/5/21,60.60
9/6/21,60.70
9/7/21,60.80
9/8/21,60.90
9/9/21,60.80
9/10/21,60.90
9/11/21,61.00
9/12/21,
9/13/21,
9/14/21,
9/15/21,
9/16/21,
9/17/21,
9/18/21,
9/19/21,
9/20/21,61.90
9/21/21,60.70
9/22/21,61.70
9/23/21,61.30
9/24/21,61.60
9/25/21,61.60
9/26/21,61.10
9/27/21,62.00
9/28/21,61.80
9/29/21,62.20
9/30/21,
10/1/21,
10/2/21,
10/3/21,
10/4/21,
10/5/21,
10/6/21,62.10
10/7/21,62.30
10/8/21,62.50
10/9/21,62.80
10/10/21,62.60
10/11/21,62.70
10/12/21,62.50
10/13/21,62.50
10/14/21,63.40
10/15/21,62.30
10/16/21,62.50
10/17/21,63.50
10/18/21,63.30
10/19/21,63.30
10/20/21,63.30
10/21/21,63.20
10/22/21,63.40
10/23/21,64.40
10/24/21,64.00
10/25/21,63.90
10/26/21,64.50
10/27/21,64.20
10/28/21,63.90
10/29/21,64.10
10/30/21,63.80
10/31/21,63.90
11/1/21,64.00
11/2/21,63.70
11/3/21,63.70
11/4/21,64.00
